RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize,
54,33118.76056,6930.016112,0.209247448,"31, 34, 50, 73, 80, 87, 94, 107","5.9483, 9.0694, 13.9914, 41.121, 11.5133, 10.2702, 34.1696, 11.7852","[33.6815 -17.8874 -32.6677], [50.0000 0.1435 -24.5430], [43.6961 -39.7069 -8.8194], [49.7388 -21.1359 -34.1464], [50.0000 -7.4836 -5.9916], [36.9610 -6.4026 -37.8700], [37.8630 -31.6613 -33.3011], [48.4119 3.0742 -27.3489]","[33.0042 -18.0423 -26.7601], [45.6148 -2.6741 -17.1211], [49.6538 -35.5379 3.1339], [34.6830 -9.9304 2.4418], [47.1720 -6.4835 5.1241], [33.8364 -6.7928 -28.0945], [41.2414 -29.8201 0.6512], [46.7430 5.6167 -15.9629]",[33.004 -39.707 -37.870],[16.996 45.324 42.994],
55,26516.60844,4898.210836,0.184722373,"32, 35, 50, 80, 90, 147","8.164, 25.7001, 0.813, 28.7378, 10.3089, 23.7229","[37.6385 -16.9827 32.8176], [33.0210 -28.2812 12.5243], [49.6538 -35.5379 3.1339], [47.1720 -6.4835 5.1241], [32.3846 -23.0283 23.9225], [37.6236 -14.2582 31.9987]","[36.7089 -17.1952 40.9257], [50.0000 -13.5992 25.0401], [50.0000 -35.2956 3.8285], [40.1133 -3.9873 32.8695], [37.3203 -31.0131 28.1835], [44.5585 -31.0261 47.2802]",[30.962 -35.538 3.134],[19.038 31.551 44.146],
57,7291.000821,2876.502629,0.394527816,"17, 60, 75, 79, 135","7.4247, 10.9091, 17.851, 16.9055, 4.1359","[48.2769 28.4348 -42.5629], [41.1025 21.3821 -50.0000], [49.6619 44.3464 -50.0000], [46.5438 38.8822 -50.0000], [43.5383 26.0076 -50.0000]","[48.5215 27.7159 -35.1772], [37.8055 18.0493 -40.1495], [45.7101 44.6093 -32.5939], [45.6894 40.0563 -33.1570], [41.9682 27.4869 -46.4712]",[33.891 18.049 -50.000],[15.771 26.560 17.406],
58,25636.44241,5072.596289,0.197866623,"9, 17, 44, 60, 78, 79, 93, 107","10.232, 17.5753, 15.464, 4.7925, 8.6109, 20.8429, 10.1837, 13.2148","[43.3454 43.7342 -3.6217], [48.5215 27.7159 -35.1772], [35.1744 27.1924 -10.5479], [36.8287 17.0618 -37.2311], [49.1846 35.2534 -2.0585], [45.6894 40.0563 -33.1570], [41.6942 13.7048 -4.2627], [46.7430 5.6167 -15.9629]","[43.8016 44.5705 6.5659], [49.1005 26.0142 -17.6940], [34.9870 18.6949 2.3708], [35.3803 15.5977 -32.9037], [48.7494 35.8514 6.5205], [44.6359 41.5038 -12.3911], [43.7450 13.9408 5.7095], [44.8716 8.4676 -3.1957]",[34.158 5.617 -37.231],[15.027 38.954 43.797],
59,24552.90883,7410.971546,0.301836805,"9, 61, 78, 84, 93, 96, 129, 134, 152","9.4096, 4.5421, 35.3318, 14.4041, 26.9168, 16.9507, 5.4173, 14.0266, 20.4376","[43.8016 44.5705 6.5659], [42.6219 22.9180 45.4606], [48.7494 35.8514 6.5205], [44.3969 23.3465 20.2126], [44.5795 14.0368 9.7676], [37.1782 38.1782 26.4044], [50.0000 41.5129 34.5030], [50.0000 19.9195 35.4771], [43.2931 8.1987 28.2042]","[44.2211 45.3396 15.9346], [41.2491 21.5303 49.5619], [46.9637 38.3052 41.7218], [35.9849 21.1135 31.6900], [50.0000 14.6605 36.1255], [39.5366 32.9507 42.3554], [48.9571 42.0974 39.7868], [44.6752 24.9364 47.4447], [50.0000 4.6371 47.1786]",[35.985 4.637 6.521],[14.015 40.703 43.041],
60,2431.199148,1593.338788,0.655371564,"9, 61, 76, 78, 129, 134","8.8121, 0.4852, 1.5272, 8.3089, 9.5701, 2.9949","[45.3536 47.4158 41.2262], [41.2491 21.5303 49.5619], [50.0000 44.3239 48.5109], [46.9637 38.3052 41.7218], [48.9571 42.0974 39.7868], [44.6752 24.9364 47.4447]","[45.7465 48.1361 50.0000], [41.1025 21.3821 50.0000], [49.6619 44.3464 50.0000], [46.5438 38.8822 50.0000], [47.1147 43.1300 49.1209], [43.5383 26.0076 50.0000]",[41.102 21.382 39.787],[8.898 26.754 10.213],
63,1417.700334,1276.837869,0.900640169,9,25.4019,[44.2211 45.3396 15.9346],[45.3536 47.4158 41.2262],[18.355 45.340 15.935],[26.998 2.076 25.292],
64,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [70 0 0]","[50 0 0], [120 0 0]",[-20 -10 -10],[160 20 20],
65,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [80 0 0]","[50 0 0], [130 0 0]",[-20 -9.7 -9.7],[170 19.4 19.4],
66,64000,5028.571,7.857142188,"1,2","50, 50","[0 0 0], [90 0 0]","[50 0 0], [140 0 0]",[-20 -9.42 -9.42],[180 18.85 18.85],
